,cond(AtA),NRMSE (НУ),Время НУ (с),cond(A),NRMSE (QR),Время QR (с)
1,3.06e+02,1.14e-02,4.85e-04,1.75e+01,1.14e-02,1.69e+01
2,1.19e+05,6.72e-04,3.61e-04,3.45e+02,6.72e-04,2.84e+01
3,6.13e+07,6.69e-04,3.40e-04,7.83e+03,6.69e-04,4.59e+01
4,2.61e+10,6.66e-04,1.43e-03,1.62e+05,6.66e-04,6.92e+01
5,1.39e+13,4.41e-04,3.53e-03,3.73e+06,4.41e-04,9.05e+01
6,6.11e+15,2.52e-04,8.36e-03,7.80e+07,2.47e-04,9.62e+01
7,1.68e+17,2.41e-04,2.81e-03,1.80e+09,2.36e-04,8.57e+01
8,2.61e+17,2.53e-04,6.51e-03,3.78e+10,2.03e-04,9.77e+01
9,3.60e+17,2.38e-04,6.54e-03,8.71e+11,1.80e-04,2.83e+02
10,2.41e+17,2.37e-04,6.59e-03,1.83e+13,1.67e-04,2.63e+02
